id,user,path,rating
491,1,3,3.741418351
3326,1,5,1.323231525
1164,1,13,3.057497988
4132,1,13,4.00840716
3159,1,18,3.90106316
3049,1,21,3.797546473
458,1,27,3.707896749
944,1,29,0.802863863
3349,1,29,3.015397568
823,1,32,4.836331519
1680,1,34,0.119858577
4509,1,41,3.729191617
2078,1,46,1.206952364
58,1,72,1.304574936
1285,1,74,4.919345239
3828,1,78,4.931071397
644,1,79,1.649079436
719,1,88,2.01242184
3283,1,90,4.902999662
3801,1,91,4.085633789
4759,1,92,4.600376763
3631,1,94,3.657115887
576,1,96,2.603146128
710,1,96,3.952584159
308,1,106,4.626896024
2861,1,108,3.450426732
220,1,109,1.1977294
4827,1,111,3.878136645
1898,1,115,1.337728658
4007,1,115,3.396234326
656,1,118,1.897194084
4254,1,127,0.202471595
213,1,129,1.453958503
3276,1,132,3.957581534
1794,1,135,3.80504374
1199,1,139,4.629275312
3722,1,141,3.302092737
4653,1,144,0.52770475
226,1,146,4.952650411
4596,1,146,2.360843875
4906,1,147,4.086820754
241,1,149,3.753456705
3372,1,150,0.504200189
2376,1,154,3.502409788
3625,1,160,0.645171762
102,1,165,1.497681187
4419,1,165,1.312204642
4877,1,169,2.764221718
2246,1,181,1.31441022
2318,1,183,2.032903685
4243,1,188,0.894988156
4804,1,189,0.501427322
4180,1,197,4.945951706
4501,1,212,0.306333934
50,1,215,4.887690525
2803,1,217,0.263602684
1836,1,220,2.548233731
4012,1,225,0.940602895
4915,1,225,4.63550554
2340,1,229,0.60005204
390,1,231,4.42147155
1112,1,233,0.863096047
4732,1,252,1.110243781
2714,1,253,2.349645664
573,1,254,4.798125364
4953,1,258,1.785696646
3018,1,264,1.812503494
2570,1,281,1.276029674
1620,1,283,1.493937257
4063,1,286,2.850249028
4543,1,286,3.311598865
2520,1,288,3.88305668
4891,1,301,0.85989609
2061,1,308,4.470412669
301,1,309,2.434418714
4472,1,309,4.034130861
773,1,311,0.313968424
4761,1,312,2.147449167
2972,1,316,1.721882463
4578,1,328,2.722195482
2220,1,331,2.132024661
4435,1,331,4.600866773
4324,1,335,4.141896838
4483,1,341,1.352528754
2799,1,345,3.316469613
4922,1,345,1.589976005
2984,1,347,0.626107972
3451,1,357,1.813143421
2589,1,364,2.447956492
242,1,366,4.838371477
3339,1,375,3.266224401
3186,1,381,1.880073389
347,1,382,3.613380063
2113,1,384,4.027059967
1529,1,389,3.070718073
1977,1,397,4.022707809
67,1,399,2.434289425
1012,1,402,1.613210438
4316,1,402,4.743723113
4081,1,403,0.124065683
177,1,404,4.968288672
4340,1,416,2.685390628
4954,1,416,4.688899649
1315,1,417,0.748178606
1540,1,417,2.221022495
3476,1,427,2.462906663
3328,2,1,1.173099059
3391,2,6,2.291720556
2177,2,8,3.355627093
4214,2,20,4.186889421
1929,2,34,0.45684537
2661,2,34,1.403590644
1890,2,35,2.880773178
4470,2,35,3.0533401
1463,2,42,1.172022784
2397,2,43,1.261072602
3073,2,47,3.527348339
468,2,48,1.380598337
4261,2,50,3.260841258
1716,2,52,4.943487959
4674,2,54,0.624808465
3013,2,55,2.069008987
3351,2,61,3.658662844
3300,2,67,2.379140644
1728,2,82,1.666183049
1936,2,93,3.609311145
3146,2,101,0.670411052
316,2,108,2.072010276
3799,2,118,4.643785653
3541,2,121,0.477001584
3271,2,126,4.770907108
387,2,130,0.996389071
2646,2,132,4.513727765
1020,2,133,4.633234837
148,2,140,2.626115261
3874,2,141,3.030886229
2877,2,142,3.252894211
827,2,147,4.67180539
3911,2,147,0.807382776
1160,2,149,4.354201143
1776,2,154,4.407030315
4148,2,161,0.174435494
1787,2,162,2.013444476
3168,2,168,3.141657433
4357,2,171,3.655057459
3222,2,180,0.791393197
1668,2,183,2.237632034
1815,2,185,2.319498201
2697,2,186,0.999847188
3438,2,189,3.898043117
1279,2,196,2.635000271
4524,2,202,4.699107535
3567,2,210,0.598073153
3008,2,212,3.301772877
131,2,233,2.93951374
2211,2,234,4.799862548
2585,2,237,2.216418947
3855,2,238,0.321167858
2302,2,242,3.419462243
